Block,Cage,Hour,Minute,Time,Animal,z,x,y,Perch,Beh,Disturbed,Observer,Notes
3,E,7,30,7.5,PIMI,,,,,,,Rob,
3,A,8,0,8,PIMI,,,,,,,Rob,
3,B,8,0,8,PIMI,14,7,8,Grass,Sit,,Rob,
3,C,8,0,8,PIMI,79,18,0,GR,Sit,,Rob,
3,D,8,0,8,PIMI,,,,,,,Rob,
3,E,8,0,8,PIMI,,,,,,,Rob,
3,A,8,30,8.5,PIMI,,,,,,,Rob,
3,B,8,30,8.5,PIMI,14,7,8,Grass,Sit,,Rob,
3,C,8,30,8.5,PIMI,79,18,0,GR,Sit,,Rob,
3,D,8,30,8.5,PIMI,,,,,,,Rob,
3,E,8,30,8.5,PIMI,,,,,,,Rob,
3,A,9,0,9,PIMI,,,,,,,Rob,
3,B,9,0,9,PIMI,14,7,8,Grass,Sit,,Rob,
3,C,9,0,9,PIMI,79,18,0,GR,Sit,,Rob,
3,D,9,0,9,PIMI,,,,,,,Rob,
3,E,9,0,9,PIMI,,,,,,,Rob,
3,A,9,30,9.5,PIMI,,,,,,,Rob,
3,B,9,30,9.5,PIMI,14,7,8,Grass,Sit,,Rob,
3,C,9,30,9.5,PIMI,79,18,0,GR,Sit,,Rob,
3,D,9,30,9.5,PIMI,,,,,,,Rob,
3,E,9,30,9.5,PIMI,,,,,,,Rob,
3,A,10,0,10,PIMI,,,,,,,Rob,
3,B,10,0,10,PIMI,14,7,8,Grass,Sit,,Rob,
3,C,10,0,10,PIMI,79,18,0,GR,Sit,,Rob,
3,D,10,0,10,PIMI,,,,,,,Rob,
3,E,10,0,10,PIMI,,,,,,,Rob,
3,A,10,30,10.5,PIMI,,,,,,,Rob,
3,B,10,30,10.5,PIMI,,,,,,,Rob,
3,C,10,30,10.5,PIMI,79,18,0,GR,Sit,,Rob,
3,D,10,30,10.5,PIMI,,,,,,,Rob,
3,E,10,30,10.5,PIMI,,,,,,,Rob,
3,A,11,0,11,PIMI,,,,,,,Rob,
3,B,11,0,11,PIMI,22,10,10,GR,Sit,,Rob,
3,C,11,0,11,PIMI,79,18,0,GR,Sit,,Rob,
3,D,11,0,11,PIMI,,,,,,,Rob,
3,E,11,0,11,PIMI,,,,,,,Rob,
3,A,11,30,11.5,PIMI,,,,,,,Rob,
3,B,11,30,11.5,PIMI,22,10,10,GR,Sit,,Rob,
3,C,11,30,11.5,PIMI,79,18,0,GR,Sit,,Rob,
3,D,11,30,11.5,PIMI,,,,,,,Rob,
3,E,11,30,11.5,PIMI,,,,,,,Rob,
3,A,12,0,12,PIMI,,,,,,,Rob,
3,B,12,0,12,PIMI,22,10,10,GR,Sit,,Rob,
3,C,12,0,12,PIMI,79,18,0,GR,Sit,,Rob,
3,D,12,0,12,PIMI,,,,,,,Rob,
3,E,12,0,12,PIMI,,,,,,,Rob,
3,A,12,30,12.5,PIMI,,,,,,,Rob,
3,B,12,30,12.5,PIMI,22,10,10,GR,Sit,,Rob,
3,C,12,30,12.5,PIMI,79,18,0,GR,Sit,,Rob,
3,D,12,30,12.5,PIMI,,,,,,,Rob,
3,E,12,30,12.5,PIMI,,,,,,,Rob,
3,A,13,0,13,PIMI,,,,,,,Rob,
3,B,13,0,13,PIMI,22,10,10,GR,Sit,,Rob,
3,C,13,0,13,PIMI,79,18,0,GR,Sit,,Rob,
3,D,13,0,13,PIMI,,,,,,,Rob,
3,E,13,0,13,PIMI,,,,,,,Rob,
3,A,13,30,13.5,PIMI,,,,,,,Rob,
3,B,13,30,13.5,PIMI,22,10,10,GR,Sit,,Rob,
3,C,13,30,13.5,PIMI,79,18,0,GR,Sit,,Rob,
3,D,13,30,13.5,PIMI,,,,,,,Rob,
3,E,13,30,13.5,PIMI,,,,,,,Rob,
3,A,14,0,14,PIMI,,,,,,,Rob,
3,B,14,0,14,PIMI,22,10,10,GR,Sit,,Rob,
3,C,14,0,14,PIMI,79,18,0,GR,Sit,,Rob,
3,D,14,0,14,PIMI,,,,,,,Rob,
3,E,14,0,14,PIMI,,,,,,,Rob,
3,A,14,30,14.5,PIMI,,,,,,,Rob,
3,B,14,30,14.5,PIMI,22,10,10,GR,Sit,,Rob,
3,C,14,30,14.5,PIMI,79,18,0,GR,Sit,,Rob,
3,D,14,30,14.5,PIMI,,,,,,,Rob,
3,E,14,30,14.5,PIMI,,,,,,,Rob,
3,A,15,0,15,PIMI,,,,,,,Rob,
3,B,15,0,15,PIMI,22,10,10,GR,Sit,,Rob,
3,C,15,0,15,PIMI,79,18,0,GR,Sit,,Rob,
3,D,15,0,15,PIMI,,,,,,,Rob,
3,E,15,0,15,PIMI,,,,,,,Rob,
3,A,15,30,15.5,PIMI,,,,,,,Rob,
3,B,15,30,15.5,PIMI,22,10,10,GR,Sit,,Rob,
3,C,15,30,15.5,PIMI,79,18,0,GR,Sit,,Rob,
3,D,15,30,15.5,PIMI,,,,,,,Rob,
3,E,15,30,15.5,PIMI,,,,,,,Rob,
3,A,16,0,16,PIMI,,,,,,,Rob,
3,B,16,0,16,PIMI,22,10,10,GR,Sit,,Rob,
3,C,16,0,16,PIMI,79,18,0,GR,Sit,,Rob,
3,D,16,0,16,PIMI,,,,,,,Rob,
3,E,16,0,16,PIMI,,,,,,,Rob,
3,A,16,30,16.5,PIMI,,,,,,,Rob,
3,B,16,30,16.5,PIMI,22,10,10,GR,Sit,,Rob,
3,C,16,30,16.5,PIMI,79,18,0,GR,Sit,,Rob,
3,D,16,30,16.5,PIMI,,,,,,,Rob,
3,E,16,30,16.5,PIMI,,,,,,,Rob,
3,A,17,0,17,PIMI,,,,,,,Rob,
3,B,17,0,17,PIMI,22,10,10,GR,Sit,,Rob,
3,C,17,0,17,PIMI,79,18,0,GR,Sit,,Rob,
3,D,17,0,17,PIMI,,,,,,,Rob,
3,E,17,0,17,PIMI,,,,,,,Rob,
3,A,17,30,17.5,PIMI,,,,,,,Rob,
3,B,17,30,17.5,PIMI,22,10,10,GR,Sit,,Rob,
3,C,17,30,17.5,PIMI,79,18,0,GR,Sit,,Rob,
3,D,17,30,17.5,PIMI,,,,,,,Rob,
3,E,17,30,17.5,PIMI,,,,,,,Rob,
3,A,18,0,18,PIMI,,,,,,,Rob,
3,B,18,0,18,PIMI,22,10,10,GR,Sit,,Rob,
3,C,18,0,18,PIMI,79,18,0,GR,Sit,,Rob,
3,D,18,0,18,PIMI,,,,,,,Rob,
3,E,18,0,18,PIMI,,,,,,,Rob,
3,A,18,30,18.5,PIMI,,,,,,,Rob,
3,B,18,30,18.5,PIMI,22,10,10,GR,Sit,,Rob,
3,C,18,30,18.5,PIMI,79,18,0,GR,Sit,,Rob,
3,D,18,30,18.5,PIMI,,,,,,,Rob,
3,E,18,30,18.5,PIMI,,,,,,,Rob,
3,A,19,0,19,PIMI,,,,,,,Rob,
3,B,19,0,19,PIMI,22,10,10,GR,Sit,,Rob,
3,C,19,0,19,PIMI,79,18,0,GR,Sit,,Rob,
3,D,19,0,19,PIMI,0,15,18,Ground,Disturbed,1,Rob,
3,E,19,0,19,PIMI,10,15,10,Litter,Disturbed,1,Rob,
3,A,7,0,7,ONAS,,,,,,,Rob,
3,B,7,0,7,ONAS,,,,,,,Rob,
3,C,7,0,7,ONAS,,,,,,,Rob,
3,D,7,0,7,ONAS,,,,,,,Rob,
3,E,7,0,7,ONAS,,,,,,,Rob,
3,A,7,30,7.5,ONAS,,,,,,,Rob,
3,B,7,30,7.5,ONAS,,,,,,,Rob,
3,C,7,30,7.5,ONAS,,,,,,,Rob,
3,D,7,30,7.5,ONAS,,,,,,,Rob,
3,E,7,30,7.5,ONAS,,,,,,,Rob,
3,A,8,0,8,ONAS,,,,,,,Rob,
3,B,8,0,8,ONAS,,,,,,,Rob,
3,C,8,0,8,ONAS,,,,,,,Rob,
3,D,8,0,8,ONAS,,,,,,,Rob,
3,E,8,0,8,ONAS,,,,,,,Rob,
3,A,8,30,8.5,ONAS,,,,,,,Rob,
3,B,8,30,8.5,ONAS,,,,,,,Rob,
3,C,8,30,8.5,ONAS,,,,,,,Rob,
3,D,8,30,8.5,ONAS,,,,,,,Rob,
3,E,8,30,8.5,ONAS,,,,,,,Rob,
3,A,9,0,9,ONAS,,,,,,,Rob,
3,B,9,0,9,ONAS,,,,,,,Rob,
3,C,9,0,9,ONAS,,,,,,,Rob,
3,D,9,0,9,ONAS,,,,,,,Rob,
3,E,9,0,9,ONAS,,,,,,,Rob,
3,A,9,30,9.5,ONAS,,,,,,,Rob,
3,B,9,30,9.5,ONAS,,,,,,,Rob,
3,C,9,30,9.5,ONAS,,,,,,,Rob,
3,D,9,30,9.5,ONAS,,,,,,,Rob,
3,E,9,30,9.5,ONAS,,,,,,,Rob,
3,A,10,0,10,ONAS,,,,,,,Rob,
3,B,10,0,10,ONAS,,,,,,,Rob,
3,C,10,0,10,ONAS,,,,,,,Rob,
3,D,10,0,10,ONAS,,,,,,,Rob,
3,E,10,0,10,ONAS,,,,,,,Rob,
3,A,10,30,10.5,ONAS,,,,,,,Rob,
3,B,10,30,10.5,ONAS,,,,,,,Rob,
3,C,10,30,10.5,ONAS,,,,,,,Rob,
3,D,10,30,10.5,ONAS,,,,,,,Rob,
3,E,10,30,10.5,ONAS,,,,,,,Rob,
3,A,11,0,11,ONAS,,,,,,,Rob,
3,B,11,0,11,ONAS,,,,,,,Rob,
3,C,11,0,11,ONAS,,,,,,,Rob,
3,D,11,0,11,ONAS,,,,,,,Rob,
3,E,11,0,11,ONAS,44,21,7,GR,DEAD,,Rob,
3,A,11,30,11.5,ONAS,,,,,,,Rob,
3,B,11,30,11.5,ONAS,,,,,,,Rob,
