Block,Cage,Hour,Minute,Time,z,x,y,Perch,Beh,Disturbed,Observer,Notes,Animal
3,E,10,0,10,85,30,11,Cage,Sit,NA,Rob,NA,MEFE
3,A,10,30,10.5,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,B,10,30,10.5,70,10,7,GR,Sit,NA,Rob,NA,MEFE
3,C,10,30,10.5,NA,NA,NA,NA,NA,NA,Rob,NA,MEFE
3,D,10,30,10.5,85,16,14,Cage,Sit,NA,Rob,NA,MEFE
3,E,10,30,10.5,83,17,19,GR,Sit,NA,Rob,NA,MEFE
3,A,11,0,11,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,B,11,0,11,70,10,7,GR,Sit,NA,Rob,NA,MEFE
3,C,11,0,11,0,18,0,GR,Walk,1,Rob,NA,MEFE
3,D,11,0,11,84,31,14,Cage,Sit,NA,Rob,NA,MEFE
3,E,11,0,11,85,10,17,Cage,Walk,NA,Rob,NA,MEFE
3,A,11,30,11.5,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,B,11,30,11.5,70,10,7,GR,Sit,NA,Rob,NA,MEFE
3,C,11,30,11.5,4,15,0,Fabric,Sit,NA,Rob,NA,MEFE
3,D,11,30,11.5,82,21,3,Cage,Sit,NA,Rob,NA,MEFE
3,E,11,30,11.5,83,0,4,Cage,Walk,NA,Rob,NA,MEFE
3,A,12,0,12,NA,NA,NA,NA,NA,NA,Rob,NA,MEFE
3,B,12,0,12,70,10,7,GR,Sit,NA,Rob,NA,MEFE
3,C,12,0,12,NA,NA,NA,NA,NA,NA,Rob,NA,MEFE
3,D,12,0,12,83,31,10,Cage,Sit,NA,Rob,NA,MEFE
3,E,12,0,12,17,9,18,Mesh,Sit,NA,Rob,NA,MEFE
3,A,12,30,12.5,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,B,12,30,12.5,70,10,7,GR,DEAD,NA,Rob,NA,MEFE
3,C,12,30,12.5,0,10,2,Ground,Sit,NA,Rob,NA,MEFE
3,D,12,30,12.5,26,19,7,GR,Sit,NA,Rob,NA,MEFE
3,E,12,30,12.5,82,2,2,Cage,Walk,NA,Rob,NA,MEFE
3,A,13,0,13,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,B,13,0,13,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,C,13,0,13,NA,NA,NA,NA,NA,NA,Rob,NA,MEFE
3,D,13,0,13,83,35,4,Cage,Sit,NA,Rob,NA,MEFE
3,E,13,0,13,86,36,11,Cage,Sit,NA,Rob,NA,MEFE
3,A,13,30,13.5,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,B,13,30,13.5,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,C,13,30,13.5,36,26,1,Cage,Sit,NA,Rob,NA,MEFE
3,D,13,30,13.5,82,33,10,Cage,Walk,NA,Rob,NA,MEFE
3,E,13,30,13.5,83,18,12,Cage,Walk,NA,Rob,NA,MEFE
3,A,14,0,14,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,B,14,0,14,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,C,14,0,14,77,30,16,Cage,Walk,NA,Rob,NA,MEFE
3,D,14,0,14,83,34,88,Cage,Walk,NA,Rob,NA,MEFE
3,E,14,0,14,86,34,12,Cage,Walk,NA,Rob,NA,MEFE
3,A,14,30,14.5,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,B,14,30,14.5,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,C,14,30,14.5,79,14,10,Mesh,Sit,NA,Rob,NA,MEFE
3,D,14,30,14.5,84,40,8,Cage,Sit,NA,Rob,NA,MEFE
3,E,14,30,14.5,83,7,5,Cage,Walk,NA,Rob,NA,MEFE
3,A,15,0,15,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,B,15,0,15,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,C,15,0,15,NA,NA,NA,NA,NA,NA,Rob,NA,MEFE
3,D,15,0,15,82,33,9,Cage,Walk,NA,Rob,NA,MEFE
3,E,15,0,15,73,28,17,GR,Sit,NA,Rob,NA,MEFE
3,A,15,30,15.5,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,B,15,30,15.5,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,C,15,30,15.5,32,32,3,Cage,Sit,NA,Rob,NA,MEFE
3,D,15,30,15.5,67,15,15,Cage,Sit,1,Rob,NA,MEFE
3,E,15,30,15.5,83,5,3,Cage,Sit,NA,Rob,NA,MEFE
3,A,16,0,16,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,B,16,0,16,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,C,16,0,16,10,30,5,Grass,Sit,NA,Rob,NA,MEFE
3,D,16,0,16,69,14,16,Cage,Sit,NA,Rob,NA,MEFE
3,E,16,0,16,71,34,1,Cage,Walk,1,Rob,NA,MEFE
3,A,16,30,16.5,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,B,16,30,16.5,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,C,16,30,16.5,NA,NA,NA,NA,NA,NA,Rob,NA,MEFE
3,D,16,30,16.5,35,23,6,GR,Sit,NA,Rob,NA,MEFE
3,E,16,30,16.5,85,31,10,Cage,Sit,NA,Rob,NA,MEFE
3,A,17,0,17,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,B,17,0,17,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,C,17,0,17,35,26,17,Cage,Sit,NA,Rob,NA,MEFE
3,D,17,0,17,30,26,7,GR,Sit,NA,Rob,NA,MEFE
3,E,17,0,17,77,30,17,GR,Sit,NA,Rob,NA,MEFE
3,A,17,30,17.5,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,B,17,30,17.5,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
3,C,17,30,17.5,35,26,17,Cage,Sit,NA,Rob,NA,MEFE
3,D,17,30,17.5,33,22,8,GR,Sit,NA,Rob,NA,MEFE
3,E,17,30,17.5,76,29,13,GR,Sit,NA,Rob,NA,MEFE
3,A,18,0,18,NA,NA,NA,NA,DEAD,NA,Rob,NA,MEFE
